City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,taltal,-25.4,-70.4833,74.71,68,0,6.08,CL,1675617154
1,upernavik,72.7868,-56.1549,-14.06,97,99,6.31,GL,1675617154
2,punta arenas,-53.15,-70.9167,51.91,50,0,33.38,CL,1675617000
3,antsohihy,-14.8796,47.9875,75.0,96,100,2.73,MG,1675617155
4,souillac,-20.5167,57.5167,78.96,83,96,11.72,MU,1675617155
5,vaini,-21.2,-175.2,79.47,76,60,7.7,TO,1675617155
6,kropotkin,45.4375,40.5756,37.08,69,100,10.27,RU,1675617156
7,egvekinot,66.3167,-179.1667,-21.35,87,100,11.74,RU,1675617156
8,lebu,-37.6167,-73.65,66.36,75,28,17.49,CL,1675617156
9,lincoln,40.8,-96.667,48.15,55,0,5.75,US,1675616974
10,ponta do sol,32.6667,-17.1,66.0,48,29,3.85,PT,1675617157
11,hithadhoo,-0.6,73.0833,81.23,70,66,11.01,MV,1675617157
12,shingu,33.7333,135.9833,39.09,59,19,5.66,JP,1675617157
13,taian,36.1853,117.12,40.28,55,100,3.33,CN,1675616888
14,mar del plata,-38.0023,-57.5575,86.83,56,10,13.0,AR,1675617158
15,torbay,47.6666,-52.7314,26.38,78,40,11.01,CA,1675617158
16,sinnamary,5.3833,-52.95,77.88,87,99,14.41,GF,1675617158
17,chuy,-33.6971,-53.4616,78.62,49,12,11.1,UY,1675617159
18,hobart,-42.8794,147.3294,58.05,77,95,8.05,AU,1675617159
19,ushuaia,-54.8,-68.3,44.51,82,84,19.89,AR,1675617159
20,new norfolk,-42.7826,147.0587,57.7,62,95,3.0,AU,1675617160
21,port elizabeth,-33.918,25.5701,80.1,95,35,8.99,ZA,1675617160
22,cidreira,-30.1811,-50.2056,82.4,46,14,14.67,BR,1675617080
23,mocuba,-16.8392,36.9856,75.24,92,55,4.54,MZ,1675617160
24,mataura,-46.1927,168.8643,57.47,87,99,10.47,NZ,1675617161
25,bredasdorp,-34.5322,20.0403,72.39,68,85,10.87,ZA,1675617161
26,abu samrah,35.3029,37.1841,42.57,93,100,4.0,SY,1675617162
27,kamaishi,39.2667,141.8833,30.63,77,12,6.06,JP,1675617162
28,albany,42.6001,-73.9662,37.94,53,100,4.0,US,1675617162
29,katsuura,35.1333,140.3,48.11,81,19,5.84,JP,1675617163
30,puerto ayora,-0.7393,-90.3518,85.96,86,44,5.01,EC,1675617163
31,husum,54.4858,9.0524,35.49,94,82,3.29,DE,1675617163
32,chokurdakh,70.6333,147.9167,-38.33,100,98,3.6,RU,1675617164
33,carnarvon,-24.8667,113.6333,77.09,76,2,17.47,AU,1675617093
34,thunder bay,48.4001,-89.3168,11.68,82,90,6.29,CA,1675616994
35,ciro marina,39.3732,17.126,43.95,53,85,34.02,IT,1675617164
36,krasnoselkup,65.7,82.4667,0.63,98,92,5.95,RU,1675617165
